controller	idle_floor_config	num_cycles	wait_time	wait_time_interval	idle_time	idle_time_interval
Zoning	(1, 1, 5)	138	4.214858675569104	0.03171876514090779	0.41921486774940325	0.013051055624043788
Nearest	(1, 1, 5)	304	3.7416414722902616	0.031737626216920056	0.32400760993249084	0.011012120366662818
Random	(1, 5, 5)	183	4.511254927709961	0.040675277160908886	0.5610317528617544	0.013385670579848042
Zoning	(1, 5, 5)	160	4.070504338948134	0.03125279297444981	0.44906554972928464	0.012330701442302897
Nearest	(1, 5, 5)	310	3.5970214348532172	0.03231953540806557	0.34816037419025286	0.01046575148219482
Random	(5, 6, 6)	134	4.603185289402187	0.03260559352311819	0.5403056559007258	0.011873397261818826
Zoning	(5, 6, 6)	136	4.4093361562181075	0.030790529084661393	0.39548413241198616	0.01105254414495172
Nearest	(5, 6, 6)	313	3.7005673523740445	0.03609092968546956	0.38509786577152005	0.010303529135916305
Random	(2, 2, 3)	176	4.382220772098513	0.03231084203508096	0.5916876111120583	0.012059096610095285
Zoning	(2, 2, 3)	168	4.214881998408298	0.02887851921114498	0.448225098321156	0.012220005953186987
Nearest	(2, 2, 3)	375	3.4111808632042053	0.02757488154810032	0.33258402681539445	0.011013382167661198
Random	(2, 2, 6)	148	4.5082362402015805	0.03695677465277749	0.5658563870716299	0.011806150993001788
Zoning	(2, 2, 6)	163	4.088801346233922	0.03496269171899006	0.44774855898724986	0.011899297893972581
Nearest	(2, 2, 6)	286	3.640207709298878	0.031411965334308754	0.3425272587403043	0.010954358321412852
Random	(2, 5, 5)	169	4.46505707383972	0.03397757398658109	0.5841584095360535	0.01323701324280514
Zoning	(2, 5, 5)	173	4.069093060134306	0.03148885270833666	0.4588995308977033	0.013070309774962818
Nearest	(2, 5, 5)	339	3.463616019171518	0.030332287732378782	0.34695376219358326	0.010706021319549343
Random	(1, 2, 6)	140	4.55747479009954	0.03395468541388676	0.5395070826764536	0.012663605304672677
Zoning	(1, 2, 6)	153	4.1351392896676975	0.03162289970705977	0.4281622289495362	0.011712731971200435
Nearest	(1, 2, 6)	266	3.7447792682456136	0.03780999108006909	0.3373854501080658	0.010458878236741142
Random	(2, 6, 6)	131	4.5924716413836455	0.03553145114500694	0.5339900655495838	0.013786348220137055
Zoning	(2, 6, 6)	131	4.220199810537926	0.03117775334010237	0.4149761427572108	0.01193412841969085
Nearest	(2, 6, 6)	290	3.71647697630059	0.03139803770272274	0.3647368695513217	0.010423111524484321
Random	(4, 4, 5)	188	4.323067891408649	0.03365309711638915	0.6054045694991901	0.013479530525143552
Zoning	(4, 4, 5)	201	4.069027106242678	0.03344398912274804	0.47371621581867474	0.012533405024586143
Nearest	(4, 4, 5)	391	3.2932707223610835	0.030762350333433042	0.36599667929031404	0.011227976618897238
Random	(1, 2, 3)	161	4.469451433110471	0.03585233861546847	0.578521441836353	0.013243226278019824
Zoning	(1, 2, 3)	146	4.237201774648371	0.030734642727368904	0.43323833003999157	0.011597133138835264
Nearest	(1, 2, 3)	324	3.5188426190588147	0.030970666600230918	0.3260869154698289	0.010268916154304059
Random	(1, 4, 6)	143	4.5496342367435725	0.03605204086637171	0.547294971209918	0.012890174701135881
Zoning	(1, 4, 6)	156	3.9822596698413855	0.032712329246007255	0.4592223706720857	0.01108196503187161
Nearest	(1, 4, 6)	279	3.657474346979222	0.03297539440973104	0.347116082609466	0.011295979992075994
Random	(1, 3, 4)	165	4.405294174262799	0.03096207907594868	0.5797525478139951	0.013744708310899465
Zoning	(1, 3, 4)	176	4.024244270499355	0.02915765266403525	0.4691779477957376	0.01168741792082063
Nearest	(1, 3, 4)	324	3.4349686768648335	0.029534855331967667	0.3364965444578641	0.01052061038140139
Random	(3, 3, 3)	180	4.289760107032315	0.034537290502369374	0.6098641036173093	0.011761082439380958
Zoning	(3, 3, 3)	187	4.132110647210647	0.02846159913709492	0.4725181330541341	0.012646277854919551
Nearest	(3, 3, 3)	390	3.240747378943023	0.02500692446384262	0.34934074206141913	0.011487730386472163
Random	(3, 3, 6)	157	4.429859445738273	0.03265239752188035	0.5819126393575673	0.012821005776040409
Zoning	(3, 3, 6)	193	4.0299456525240185	0.032632022327113784	0.4675599172310361	0.012787641077299933
Nearest	(3, 3, 6)	337	3.428686465899169	0.03089743826661498	0.3560128843078678	0.01125981577277978
Random	(3, 4, 5)	190	4.331679855249517	0.034251167377224404	0.5992040102119865	0.011725228115262254
Zoning	(3, 4, 5)	200	4.011489202980635	0.032118619498613867	0.4849038041242032	0.012348879841758458
Nearest	(3, 4, 5)	400	3.2668726359928826	0.028555032022529726	0.36248279665193944	0.011365675510369842
Random	(2, 3, 4)	197	4.331554878014288	0.03194229679443899	0.6052532044636643	0.01239161628088766
Zoning	(2, 3, 4)	183	4.0199348986361585	0.032586654084821386	0.48534477111238095	0.012946596184368761
